App Id,App Status,App Status Date,App Swc Type,App Too Date,Business Name,Business Name2,CB,Cb Dd,CC,Cc Dd,Cd Url,City,CP,Cp Dd,Dpqa,Expiration Date,Hearing,Hearing Dd,Hearing Public,Hearing Public Dd,Intake,Intake Dd,Issuance,Issuance Dd,Lic Status,License Nbr,MOO,Moo Dd,Send Package Dd,State,Street,Submit Date,Swc Type,ZIP,App Chairs,App Sq Ft,App Tables,Building,Calculation1,City Council District,Community District,Dohmh,Latitude,Longitude,Swc Chairs,Swc Sq Ft,Swc Tables
11351-2018-ASWC,Application Review Completed,2018-12-26,Unenclosed,,LE GARAGE CORP,WANDERLUST,Review Period Expired,2018-09-05,Review Period Expired,2018-09-26,http://cbsix.org,NEW YORK,,,Approved,2020-12-15,Recommendation Issued,2018-09-05,SWC Public Hearing,2018-07-25,Ready For Review,2018-06-08,Issued,2018-12-26,Inactive,2077822-DCA,,,2018-06-08,NY,2ND AVE,2018-06-07,Unenclosed,10022,34,538,17,1004,0,4,106,,40.756783363,-73.966933128,34,538,17
13516-2018-RSWC,Application Review Completed,2019-03-29,Unenclosed,,"135 STUDIO N ADR, INC.",JULIETTE,Review Period Expired,2018-11-14,Review Period Expired,2018-12-05,http://www.nyc.gov/brooklyncb1,BROOKLYN,,,Approved,2020-09-15,Waived,2018-11-14,,,Ready For Review,2018-09-25,Issued,2019-03-29,Inactive,1378763-DCA,Approved,2019-03-29,2018-09-25,NY,N 5TH ST,2018-09-17,Unenclosed,11211,11,124,5,135,0,33,301,41227319,40.717083500,-73.959142853,11,124,5
26581-2019-RSWC,Pending Review,2020-05-28,Unenclosed,2020-08-28,AKRAM RESTAURANT MANAGEMENT INC.,,Review Period Expired,2019-11-07,Review Period Expired,2019-11-28,http://www.nyc.gov/manhattancb2,NEW YORK,Pending Review,2019-09-13,Issued Temp Op Letter,2020-08-28,Waived,2019-11-07,,,Ready For Review,2019-09-13,Pending Review,,Inactive,1249523-DCA,Pending Review,,2019-09-13,NY,MULBERRY ST,2019-09-13,Unenclosed,10013,38,266,19,129,0,1,102,41235305,40.718328618,-73.997904075,38,266,19
8687-2018-RSWC,Pending Review,2019-09-12,Enclosed,2020-03-12,BAROSA INC.,,Pending Review,2018-05-21,Pending Review,,http://queenscb6.org/,REGO PARK,Pending Review,2018-05-21,Issued Temp Op Letter,2020-03-12,Pending Review,,,,Ready For Review,2018-05-21,Pending Review,,Inactive,1222376-DCA,Pending Review,,2018-05-21,NY,WOODHAVEN BLVD,2018-05-21,Enclosed,11374,40,375,10,6229,0,29,406,41057755,40.725976126,-73.869886170,40,375,10
27290-2019-RSWC,Pending Review,2020-03-04,Unenclosed,2020-04-04,"LUNELLA RISTORANTE, INC.",LUNELLA,Review Period Expired,2019-11-27,Review Period Expired,2019-12-18,http://www.nyc.gov/manhattancb2,NEW YORK,Pending Review,2019-09-20,Issued Temp Op Letter,2020-04-04,Waived,2019-11-27,,,Ready For Review,2019-09-20,Pending Review,,Inactive,1072629-DCA,Pending Review,,2019-09-20,NY,MULBERRY ST,2019-09-20,Unenclosed,10013,8,110,4,173,0,1,102,40812973,40.720107204,-73.997099538,8,110,4
16560-2018-ASWC,Application Review Completed,2019-05-02,Unenclosed,,NINO AQ LLC,,,,Review Period Expired,2019-01-17,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,ASTORIA,,,Approved,2020-12-15,,,,,Ready For Review,2018-10-22,Issued,2019-05-02,Inactive,2080940-DCA,Approved,2019-05-02,2018-10-22,NY,DITMARS BLVD,2018-10-22,Unenclosed,11105,38,414,19,3501,0,22,401,,40.774957788,-73.908675705,38,414,19
30168-2018-RSWC,Application Review Completed,2019-04-10,Unenclosed,,TAVERN 211 CORP,SPOTTED OWL TAVERN,Review Period Expired,2019-01-24,Review Period Expired,2019-02-14,http://www.nyc.gov/manhattancb3,NEW YORK,,,Approved,2020-12-15,Waived,2019-01-24,,,Ready For Review,2018-11-30,Issued,2019-04-10,Inactive,2037228-DCA,,,2018-11-30,NY,AVENUE A,2018-11-30,Unenclosed,10009,11,78,5,211,0,2,103,50018594,40.729830314,-73.980794262,11,78,5
23843-2019-RSWC,Application Review Completed,2019-07-16,Enclosed,,"CARABEAN, LLC",GALWAY HOOKER BAR,Review Period Expired,2019-07-16,Approved,2019-07-16,http://www.nyc.gov/manhattancb2,NEW YORK,Proceed,2019-07-16,Approved,2021-05-15,Waived,2019-07-16,,,Ready For Review,2019-07-16,Issued,2019-07-16,Active,1341044-DCA,Approved,2019-07-16,,NY,7TH AVE S,2019-07-16,Enclosed,10014,18,268,8,133,1,3,102,41443815,40.734563853,-74.002125302,18,268,8
31860-2018-RSWC,Application Review Completed,2018-12-13,Unenclosed,,"BREAD & BUTTER DEVELOPMENT GROUP, LLC",WATTY AND MEG,,,,,http://www.brooklyncb6.org/,BROOKLYN,,,Approved,2020-12-15,,,,,Ready For Review,2018-12-13,Issued,2018-12-13,Inactive,2011210-DCA,,,,NY,COURT ST,2018-12-13,Unenclosed,11201,24,295,8,248,0,39,306,41401447,40.685635603,-73.994508557,24,295,8
17268-2018-ASWC,Application Review Completed,2019-06-12,Unenclosed,,WESTVILLE HK LLC,,,,Review Period Expired,2019-01-31,http://www.nyc.gov/mcb4,NEW YORK,,,Approved,2021-12-15,,,,,Ready For Review,2018-11-13,Issued,2019-06-12,Active,2081202-DCA,Approved,2019-06-12,2018-11-13,NY,9TH AVE,2018-11-13,Unenclosed,10019,6,52,3,809,1,3,104,,40.765828610,-73.987462412,6,52,3
26343-2018-RSWC,Application Review Completed,2019-03-22,Unenclosed,,NACO NYC LLC,EL TORO BLANCO,Review Period Expired,2019-01-10,Review Period Expired,2019-01-31,http://www.nyc.gov/manhattancb2,NEW YORK,,,Approved,2020-12-15,Waived,2019-01-10,,,Ready For Review,2018-11-14,Issued,2019-03-22,Inactive,1446392-DCA,,,2018-11-16,NY,DOWNING ST,2018-11-05,Unenclosed,10014,58,496,29,10,0,3,102,41694328,40.729225290,-74.002832306,58,496,29
23036-2019-RSWC,Application Review Completed,2019-11-27,Unenclosed,,LADUREE MADISON LLC,LADUREE,Recommend Approval,2019-08-21,Review Period Expired,2019-09-11,http://www.cb8m.com/,NEW YORK,,,Approved,2021-04-15,Waived,2019-08-21,,,Ready For Review,2019-07-02,Issued,2019-11-27,Active,2046261-DCA,Approved,2019-11-27,2019-07-02,NY,MADISON AVE,2019-07-02,Unenclosed,10021,8,143,4,864,1,4,108,50054046,40.770726462,-73.966272744,8,143,4
13934-2018-RSWC,Application Review Completed,2019-07-24,Unenclosed,,JOHN-PHIL TAVERN CORP,,Recommend Approval,2018-11-01,Review Period Expired,2018-11-22,http://cbsix.org,NEW YORK,,,Approved,2020-09-15,Waived,2018-11-01,,,Ready For Review,2018-09-18,Issued,2019-07-24,Inactive,1219526-DCA,Approved,2019-07-24,2018-09-18,NY,E 53RD ST,2018-09-18,Unenclosed,10022,26,322,13,350,0,4,106,40382802,40.755783873,-73.965562025,26,322,13
20570-2019-RSWC,Pending Review,2020-03-05,Enclosed,2020-06-30,"THE SMOKE JOINT, LLC",THE SMOKE JOINT,Pending Review,2019-05-22,Pending Review,,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,BROOKLYN,Pending Review,2019-05-22,Issued Temp Op Letter,2020-06-30,Pending Review,,,,Ready For Review,2019-05-22,Pending Review,,Inactive,1245257-DCA,Pending Review,,2019-05-22,NY,S ELLIOTT PL,2019-05-22,Enclosed,11217,12,161,5,87,0,35,302,41270972,40.686928644,-73.975437664,12,161,5
11375-2018-RSWC,Application Review Completed,2019-02-05,Regular Unenclosed/Small Unenclosed,,SPRING SOHO INC,SPRING NATURAL,Review Period Expired,2018-10-10,Review Period Expired,2018-10-31,http://www.nyc.gov/manhattancb2,NEW YORK,,,Approved,2020-09-15,Waived,2018-10-10,,,Ready For Review,2018-08-20,Issued,2019-02-05,Inactive,2035053-DCA,,,2018-08-21,NY,KENMARE ST,2018-08-20,Regular Unenclosed/Small Unenclosed,10012,22,301,11,98,0,1,102,50042188,40.721098060,-73.996987659,22,301,11
25999-2019-RSWC,Application Review Completed,2019-12-24,Unenclosed,,AMSTERDAM ALE HOUSE INC,,Recommend Approval,2019-10-15,Review Period Expired,2019-11-05,http://www.nyc.gov/mcb7,NEW YORK,,,Approved,2021-09-15,Waived,2019-10-15,,,Ready For Review,2019-08-26,Issued,2019-12-24,Active,1413323-DCA,Approved,2019-12-24,2019-08-27,NY,AMSTERDAM AVE,2019-08-26,Unenclosed,10024,32,330,11,340,1,6,107,41391353,40.781414898,-73.979847781,32,330,11
3125-2020-RSWC,Pending Review,2020-03-13,Regular Unenclosed/Small Unenclosed,2020-05-23,DCB DELANCEY CORPORATION,SEL ROSE,Review Period Expired,2020-04-07,Review Period Expired,2020-04-28,http://www.nyc.gov/manhattancb3,NEW YORK,Pending Review,2020-02-12,Issued Temp Op Letter,2020-05-23,Waived,2020-04-07,,,Ready For Review,2020-02-12,Pending Review,,Inactive,2009334-DCA,Pending Review,,2020-02-12,NY,DELANCEY ST,2020-02-12,Regular Unenclosed/Small Unenclosed,10002,51,560,15,1,0,1,103,41703928,40.719975325,-73.993784221,51,560,15
18974-2019-RSWC,Application Review Completed,2019-04-30,Enclosed,,IXHEL CORPORATION,CAFE FRIDA,Review Period Expired,2019-04-30,Approved,2019-04-30,http://www.nyc.gov/mcb7,NEW YORK,Proceed,2019-04-30,Approved,2021-05-15,Waived,2019-04-30,,,Ready For Review,2019-04-30,Issued,2019-04-30,Active,1392090-DCA,Approved,2019-04-30,,NY,COLUMBUS AVE,2019-04-30,Enclosed,10024,28,285,10,368,1,6,107,40758427,40.780903716,-73.976367092,28,285,10
